"Variable","Control","Tratamiento","Diferencia","NA"
"mujer_hh","mujer_hh","0.64","0.74","0.1***"
"mujer_hh","","(0.48)","(0.44)",""
"edad_hh","edad_hh","53.28","53.81","0.53"
"edad_hh","","(14.93)","(15.5)",""
"hh_size","hh_size","3.42","3.59","0.17***"
"hh_size","","(1.67)","(1.84)",""
"FSI_base","FSI_base","0.7","0.65","-0.05***"
"FSI_base","","(0.21)","(0.22)",""
"FSI_theta_base","FSI_theta_base","0.05","-0.17","-0.22***"
"FSI_theta_base","","(0.95)","(1.01)",""
"city_Barranquilla","city_Barranquilla","0.38","0.37","-0.01"
"city_Barranquilla","","(0.49)","(0.48)",""
"city_Cali","city_Cali","0.31","0.31","0"
"city_Cali","","(0.46)","(0.46)",""
"city_Medell.in","city_Medell.in","0.31","0.33","0.02"
"city_Medell.in","","(0.46)","(0.47)",""
