"Variable","Control","Tratamiento","Diferencia","NA"
"mujer_hh","mujer_hh","0.56","0.64","0.08***"
"mujer_hh","","(0.5)","(0.48)",""
"edad_hh","edad_hh","53.33","53.42","0.09**"
"edad_hh","","(15.94)","(16.2)",""
"hh_size","hh_size","3.46","3.66","0.2***"
"hh_size","","(1.7)","(1.89)",""
"FSI_base","FSI_base","0.7","0.65","-0.05***"
"FSI_base","","(0.21)","(0.22)",""
"FSI_theta_base","FSI_theta_base","0.05","-0.17","-0.22***"
"FSI_theta_base","","(0.95)","(1.01)",""
"city_Medellín","city_Medellín","0.15","0.16","0.01"
"city_Medellín","","(0.36)","(0.37)",""
"city_Cali","city_Cali","0.31","0.31","0"
"city_Cali","","(0.46)","(0.46)",""
"city_Barranquilla","city_Barranquilla","0.38","0.37","-0.01"
"city_Barranquilla","","(0.49)","(0.48)",""
"city_Medellin","city_Medellin","0.15","0.16","0.01"
"city_Medellin","","(0.36)","(0.37)",""
