"Variable","Control_pre","Tratamiento_pre","Diferencia_pre","Control_post","Tratamiento_post","Diferencia_post"
"mujer_hh","mujer_hh","0.643","0.73","mujer_hh","0.64","0.74"
"mujer_hh","mujer_hh","0.643","0.73","","(0.48)","(0.44)"
"mujer_hh","","(0.48)","(0.45)","mujer_hh","0.64","0.74"
"mujer_hh","","(0.48)","(0.45)","","(0.48)","(0.44)"
"edad_hh","edad_hh","55.628","53.28","edad_hh","53.28","53.81"
"edad_hh","edad_hh","55.628","53.28","","(14.93)","(15.5)"
"edad_hh","","(15.51)","(15.52)","edad_hh","53.28","53.81"
"edad_hh","","(15.51)","(15.52)","","(14.93)","(15.5)"
"hh_size","hh_size","3.255","3.53","hh_size","3.42","3.59"
"hh_size","hh_size","3.255","3.53","","(1.67)","(1.84)"
"hh_size","","(1.78)","(1.84)","hh_size","3.42","3.59"
"hh_size","","(1.78)","(1.84)","","(1.67)","(1.84)"
"FSI_base","FSI_base","0.717","0.65","FSI_base","0.7","0.65"
"FSI_base","FSI_base","0.717","0.65","","(0.21)","(0.22)"
"FSI_base","","(0.21)","(0.22)","FSI_base","0.7","0.65"
"FSI_base","","(0.21)","(0.22)","","(0.21)","(0.22)"
"FSI_theta_base","FSI_theta_base","0.14","-0.14","FSI_theta_base","0.05","-0.17"
"FSI_theta_base","FSI_theta_base","0.14","-0.14","","(0.95)","(1.01)"
"FSI_theta_base","","(0.97)","(1.02)","FSI_theta_base","0.05","-0.17"
"FSI_theta_base","","(0.97)","(1.02)","","(0.95)","(1.01)"
"city_Barranquilla","city_Barranquilla","0.338","0.35","city_Barranquilla","0.38","0.37"
"city_Barranquilla","city_Barranquilla","0.338","0.35","","(0.49)","(0.48)"
"city_Barranquilla","","(0.47)","(0.48)","city_Barranquilla","0.38","0.37"
"city_Barranquilla","","(0.47)","(0.48)","","(0.49)","(0.48)"
"city_Cali","city_Cali","0.331","0.31","city_Cali","0.31","0.31"
"city_Cali","city_Cali","0.331","0.31","","(0.46)","(0.46)"
"city_Cali","","(0.47)","(0.46)","city_Cali","0.31","0.31"
"city_Cali","","(0.47)","(0.46)","","(0.46)","(0.46)"
"city_Medell.in","city_Medell.in","0.331","0.34","city_Medell.in","0.31","0.33"
"city_Medell.in","city_Medell.in","0.331","0.34","","(0.46)","(0.47)"
"city_Medell.in","","(0.47)","(0.47)","city_Medell.in","0.31","0.33"
"city_Medell.in","","(0.47)","(0.47)","","(0.46)","(0.47)"
