"start_p10","hh_id","tratamiento_control","city","pledge","edad_hh","mujer_hh","escolaridad_hh","edad","edad_sq","afro","mujeres_1","educacionninguno","educacionprimaria_o_menos","educacionsecundaria_completa","educacionsecundaria_incompleta","educaciontecnica_teconologica","educacionuniversidad","educacionprimaria_o_menos_ninguno","hh_size","nino_0_a_5","nino_0_a_6","nino_13_a_17","nino_7_a_12","nino_18_a_24","nino_25_a_40","nino_41_a_65","nino_66","nino","nino_0_a_14","joven_15_a_24","adulto_25_59","adulto_mayor_60","adulto","adulto_mayor_65","adulto_mayor","hijos","padres","otros","moda_cmh_p9","poblacion_edad_trabajar_1","poblacion_edad_trabajar_juvenil_1","desempleo_1","desempleo_juvenil_1","participacion_laboral_1","participacion_laboral_juvenil_1","empleado_con_contrato_formal_1","empleado_con_seguridad_social_1","empleado_insatisfecho_laboralmente_1","empleado_con_sub_empleado_1_1","empleado_con_ingreso_menor_salario_minimo_1","empleado_canales_busqueda_formales_1","asalariados_1","n","empleados_1","desempleo_dummy","piso_tierra","piso_mejor","cocina_prov","bano_bald","bano_todas","satisfaccion_hh","n_rooms","n_bedrooms","n_baths","n_living","sspp","percepcion_agua","cocina_mejor","modd_ig_p4","modd_ig_p48","modd_ig_p49","modd_ig_p56","pobreza_modera_y_extrema_sisben","fuente_informal","ing","ing_insuf","gast","ingr_alimento","gast_sal","deuda","valor_deuda","fuente_ingreso","porct_ingreso_fuente","financiacion_deuda","precio_venta","ingreso_futuro","total_ahorro","meses_ahorro","cuenta_ahorro","visita_medico","diarrea","vomito","fiebre","irritaciones","i_health_perc","i_health_perc_sum","edad_0_a_6","edad_7_a_12","edad_13_a_17","edad_15_a_18","edad_18_a_24","edad_25_a_40","edad_41_a_65","edad_66","visita_medico_edad_0_a_6","visita_medico_edad_7_a_12","visita_medico_edad_13_a_17","visita_medico_edad_15_a_18","visita_medico_edad_18_a_24","visita_medico_edad_25_a_40","visita_medico_edad_41_a_65","visita_medico_edad_66","diarrea_edad_0_a_6","diarrea_edad_7_a_12","diarrea_edad_13_a_17","diarrea_edad_15_a_18","diarrea_edad_18_a_24","diarrea_edad_25_a_40","diarrea_edad_41_a_65","diarrea_edad_66","vomito_edad_0_a_6","vomito_edad_7_a_12","vomito_edad_13_a_17","vomito_edad_15_a_18","vomito_edad_18_a_24","vomito_edad_25_a_40","vomito_edad_41_a_65","vomito_edad_66","fiebre_edad_0_a_6","fiebre_edad_7_a_12","fiebre_edad_13_a_17","fiebre_edad_15_a_18","fiebre_edad_18_a_24","fiebre_edad_25_a_40","fiebre_edad_41_a_65","fiebre_edad_66","irritaciones_edad_0_a_6","irritaciones_edad_7_a_12","irritaciones_edad_13_a_17","irritaciones_edad_15_a_18","irritaciones_edad_18_a_24","irritaciones_edad_25_a_40","irritaciones_edad_41_a_65","irritaciones_edad_66","i_health_perc_edad_0_a_6","i_health_perc_edad_7_a_12","i_health_perc_edad_13_a_17","i_health_perc_edad_15_a_18","i_health_perc_edad_18_a_24","i_health_perc_edad_25_a_40","i_health_perc_edad_41_a_65","i_health_perc_edad_66","i_health_perc_sum_edad_0_a_6","i_health_perc_sum_edad_7_a_12","i_health_perc_sum_edad_13_a_17","i_health_perc_sum_edad_15_a_18","i_health_perc_sum_edad_18_a_24","i_health_perc_sum_edad_25_a_40","i_health_perc_sum_edad_41_a_65","i_health_perc_sum_edad_66","i_healh","i_healh_edad_0_a_6","i_healh_edad_7_a_12","i_healh_edad_13_a_17","i_healh_edad_15_a_18","i_healh_edad_18_a_24","i_healh_edad_25_a_40","i_healh_edad_41_a_65","i_healh_edad_66","moda_cmh_p12","seguridad_barrio","instituciones_gobierno","instituciones_empresas_serv_pub","instituciones_policia","instituciones_jac","instituciones_asociaciones_locales","instituciones_iglesias","imagen_privados","privadas_bienestar","satisfecho_barrio","relacion_vecinos","satisfaccion","animo","nervioso","moral_baja","calmado","feliz","vitalidad","satisfecho","cosas_bien","no_controlar_cosas","seguridad","dificultades","energia","agotado","cansado","reducir_trabajo","baja_productividad","trabajo_sin_cuidado","i_vitalidad","i_rol_emocional","i_salud_mental","i_animo","i_satisfaccion","i_extra","i_mental","moda_cmh_p7","modg_ef_p2","modg_ef_p3","modg_ef_p4","modg_ef_p5","modg_ef_p6","modg_ef_p7","modg_ef_p25","modg_ef_p26","modg_ef_p27","modg_ef_p28","modg_ef_p29","modg_ef_p30","modg_ef_p8","modg_ef_p9","modg_ef_p10","modg_ef_p11","modg_ef_p12","modg_ef_p13","modg_ef_p14","modg_ef_p15","modg_ef_p16","modg_ef_p17","escucha","aceptacion","satisfaccion_comportamiento","mejorar_tristeza","saber_problemas","apoyo","i_ambiente_familiar","economic_empowerment_index","family_functionality","family_violence_index_C","family_responsiveness_index_C","family_functionality_index_c","family_functionality_index","oficios_frecuente","oficios_mejoramiento_frecuente","trabajo_frecuente","n_oficios","n_trabajo","oficio_first","oficio_second","oficio_third","horas_oficios","horas_trabajo","oficio_first_dummy","oficio_second_dummy","oficio_third_dummy","Interv_budget_subtotal_est","slope_50","FSI_endline","FSI_theta_endline","FSI_theta_se_endline","quejas","weights","time"
"1000193972","uuid:d5e70289-34b9-4123-93d6-4bae5cba87df",0,"Medellín",1,23,0,"secundaria_completa",23,529,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,23,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,FALSE,0,0,1,0,1,5,4,2,1,1,NA,4,0,3,1,NA,NA,1,NA,1,0,"1","1",1,0,NA,"1",100,NA,4e+07,3,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,"2",0,0,0,0,0,0,"3","3","2",2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,1,0.25,1,0.75,1,1,0.852941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,1,0,0,NA,FALSE,TRUE,FALSE,4.53681890512255,0.36,0.895382363940131,1.27947888701475,NA,0,0.159550561797753,0
"1000292440","uuid:9332f42d-7b75-4820-a4be-e776161eb431",0,"Medellín",1,21,0,"secundaria_incompleta",21,611.666666666667,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,3,1,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0,0.333333333333333,0.666666666666667,63,2,1,0,0,1,1,0.5,0.5,0,0,0,0,0.5,3,2,FALSE,0,1,0,1,1,4,2,0,1,1,NA,4,0,1,1,NA,1,0,1,2,0,"4","3",0,1,"8","1",60,1,3.5e+07,5,1,NA,1,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2",0,0,0,0,0,0,"1","2","2",3,3.5,2.5,4.5,4.5,4.5,4.5,4,4.5,3.5,4.5,3.5,5,4,3,3,2,2,2,0.625,0.25,0.875,0.375,0.875,0.78125,0.654411764705882,1.33333333333333,4,4,4,4,4,4,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,1,0.208333333333333,64,1,1,1,4,0,0,1,0,1,0,0,0,NA,47,FALSE,FALSE,FALSE,8.10087935668383,0.12,0.248446702846037,-1.700027867793,NA,0,2.55280898876405,0
"1000438461","uuid:ea91f40e-894a-491e-8aec-2ff13ec693c5",0,"Medellín",1,50,1,"secundaria_incompleta",36.4,1452,1,0.2,0,0,0.2,0.6,0.2,0,0,5,0,0,0,0,0.2,0.4,0.4,0,0,0,0.2,0.8,0,1,0,0,0.6,0.4,0,182,5,2,0,0,0.6,1,0.666666666666667,1,0,0,0,0.666666666666667,0.666666666666667,5,3,FALSE,0,1,0,0,1,NA,4,2,1,1,NA,3,0,2,8,12,NA,0.6,NA,1,0,"2","1",1,0,NA,"2",60,NA,4.5e+07,4,8,12,NA,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0,NA,0,0,0,0,0,0.2,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,"2",0,0,0,0,0,0,"3","3","2",4,5,3,5,5,5,5,5,5,4,5,4,5,5,3,3,2,2,2,0.75,0.25,1,0.5,1,0.875,0.75,1.2,3,3,3,4,3,3,1,1,1,1,1,1,4,3,4,4,4,4,4,3,4,4,4,4,4,5,4,4,0.791666666666667,0.25,57,0.958333333333333,0.791666666666667,0.9375,4,0.6,0.6,0.6,0.2,0.6,0.2,0.2,0.2,47,127,TRUE,TRUE,TRUE,0,0.18,0.52727609152398,-0.415859909576192,NA,0,0.478651685393259,0
"1000536137","uuid:d545f342-6203-4358-bade-35bbfddff960",1,"Medellín",3,31,1,"tecnica_teconologica",19.4615384615385,476.230769230769,0.769230769230769,0.769230769230769,0,0.384615384615385,0.0769230769230769,0.461538461538462,0.0769230769230769,0,0.384615384615385,13,0,0,0.153846153846154,0.384615384615385,0.0769230769230769,0.384615384615385,0,0,0.538461538461538,0.461538461538462,0.153846153846154,0.384615384615385,0,0.461538461538462,0,0,0.538461538461538,0.0769230769230769,0.384615384615385,253,7,4,0,0,0.428571428571429,0.5,0,1,0.333333333333333,0,0.666666666666667,0,0,13,3,FALSE,0,1,0,0,1,2,3,2,1,1,NA,3,0,1,1,NA,NA,0,NA,4,0,"3","4",1,0,NA,"2",70,NA,6e+07,5,1,NA,NA,0,0,0,0,0,0,0,0,0.384615384615385,0.153846153846154,0.0769230769230769,0.0769230769230769,0.384615384615385,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,"2",0,0,0,0,0,0,"2","5","4",3,2.5,2.5,5,4,4,3,2.5,2,3.5,4,4.5,3.5,2.5,3,3,1.5,1.5,1.5,0.4375,0.125,0.75,0.375,0.25,0.71875,0.507352941176471,1.76923076923077,4,0,3,0,3,3,1,1,1,1,1,1,0,1,0,0,0,2,4,4,4,4,5,1,4,1,4,4,0.541666666666667,0.25,32,0.125,0.541666666666667,1,2,0.375,0.375,0.375,0.375,0.25,0.375,0,0,127,40,TRUE,FALSE,FALSE,6.45277342529966,0.78,0.740262968764987,0.56506582630265,NA,1,1,0
"1000538215","uuid:2d6aa561-5eca-40c7-b0a5-7565ebc426d7",1,"Medellín",3,29,1,"tecnica_teconologica",14.75,347.25,0,0.75,0.25,0.25,0,0,0.5,0,0.5,4,1,0.25,0,0.25,0.25,0.25,0,0,0.5,0.5,0.25,0.25,0,0.5,0,0,0.5,0.25,0.25,59,2,1,1,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,4,0,TRUE,0,1,0,0,1,3,5,2,1,1,NA,3,0,1,1,NA,NA,0,NA,3,0,"2","3",1,0,NA,"3",100,NA,8e+07,5,1,NA,NA,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"3",0,0,0,0,0,0,"1","2","3",3,3,2.5,2.5,3,4,3.5,4,3,3,2.5,3.5,3,3.5,2.5,3.5,1.5,1,1.5,0.59375,0.0833333333333333,0.5625,0.375,0.5,0.5,0.455882352941176,1.75,3,3,3,3,3,3,1,1,1,0,0,1,3,3,4,4,4,4,2,2,2,2,4,4,4,4,4,4,0.75,0.166666666666667,48,0.916666666666667,0.75,0.5,3,1,1,0,0.5,0,1,0,0,0,NA,TRUE,FALSE,FALSE,5.32735182678754,0.34,0.895382363940131,1.27947888701475,NA,0,1,0
"1000638664","uuid:f5d4611c-1137-4241-8580-ea57c06efc9c",1,"Medellín",3,27,1,"secundaria_completa",14.3333333333333,288.333333333333,0,0.666666666666667,0,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,3,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0,43,1,1,0,0,1,1,1,1,0,0,0,1,1,3,1,FALSE,0,1,0,0,1,5,2,0,1,1,NA,3,0,2,6,1,NA,0,NA,2,0,"3","2",1,0,NA,"1",100,NA,1e+07,4,6,1,NA,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"3",1,1,1,1,0,1,"1","2","3",3,5,5,3,3,4,3,4,4,2,3,4,5,5,3,3,1,1,1,0.6875,0,0.5625,1,0.75,0.625,0.544117647058823,1.66666666666667,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.75,0.25,58,1,0.75,1,4,1,1,1,0,1,0,1,0,NA,0,FALSE,TRUE,FALSE,5.89901235488953,0.38,0.52727609152398,-0.415859909576192,NA,0,1,0
"1000643548","uuid:68d0dce8-884c-42f0-98d8-c350686597e7",1,"Medellín",2,23,1,"tecnica_teconologica",15.5,296.5,0,1,0,0.5,0,0,0.5,0,0.5,2,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0,31,1,1,0,0,1,1,0,1,0,0,0,0,0,2,1,FALSE,0,1,0,0,1,4,2,1,1,1,NA,4,0,1,1,NA,NA,1,NA,2,0,"1","2",1,0,NA,"1",100,NA,3e+07,5,1,NA,NA,1,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,NA,0.5,0,0,0.5,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,"2",1,1,0,0,0,0,"3","3","2",2,4,2,5,5,5,5,5,4,3,3,3,5,5,3,5,2,2,1,0.875,0.166666666666667,1,0.25,0.75,0.625,0.676470588235294,2,4,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,5,4,4,4,4,4,0.791666666666667,0.25,55,1,0.791666666666667,0.75,4,1,1,1,0,0,0,0,1,NA,NA,FALSE,FALSE,TRUE,4.79287398336399,0.32,0.801444823389354,0.846843072615949,NA,0,1,0
"1000871711","uuid:b4bf8329-dba3-4c83-8973-b9df082f7de1",1,"Medellín",3,21,1,"secundaria_incompleta",9.66666666666667,158.333333333333,0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,3,2,0.666666666666667,0,0,0.333333333333333,0,0,0,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0,29,1,1,0,0,1,1,0,1,0,0,0,0,0,3,1,FALSE,1,0,0,NA,NA,3,1,0,0,0,NA,2,0,1,1,NA,NA,0,NA,4,0,"1","5",1,0,NA,"1",100,NA,2e+07,5,1,NA,NA,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2",1,0,0,0,0,0,"1","2","2",2,3,3,5,5,5,5,5,5,4,5,4,5,5,3,5,2,2,2,0.875,0.25,1,0.5,1,0.875,0.779411764705882,1.66666666666667,3,3,3,3,3,3,1,1,1,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.75,0.208333333333333,58,1,0.75,1,4,1,1,1,1,0,1,0,0,40,NA,TRUE,FALSE,FALSE,4.63175346266924,0.46,0.686930876406163,0.319441200876361,NA,0,1,0
"1001033236","uuid:188224e8-13f3-4463-988a-44a17f770372",0,"Medellín",1,24,1,"primaria_o_menos",33,1791,0,1,0.333333333333333,0.666666666666667,0,0,0,0,1,3,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0.333333333333333,0.666666666666667,0,99,2,1,0,0,0.5,1,0,1,1,1,1,0,1,3,1,FALSE,0,0,0,1,1,2,3,1,1,1,NA,3,0,2,1,NA,NA,1,NA,3,0,"2","3",1,0,NA,"1",100,NA,5e+07,4,1,NA,NA,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,1,1,0,0,0,0,0,0,1,1,"3",0,0,0,0,0,0,"3","5","4",3,2,2,1,2,1,1,1,4,3,3,3,3,1,1,1,1,1,2,0,0.0833333333333333,0.0625,0.25,0.75,0.5,0.205882352941176,2,3,3,3,1,0,0,0,0,1,1,0,0,4,2,2,2,2,4,3,1,0,0,4,4,4,2,1,1,0.416666666666667,0.0833333333333333,30,0.666666666666667,0.416666666666667,0.25,2,1,1,0.5,0,0.5,1,0,0,NA,48,TRUE,FALSE,FALSE,0,0.28,0.39144659853586,-1.04143199687739,NA,0,0.319101123595506,0
"1001359510","uuid:33ebe7a3-52e8-4eeb-8040-cf9d84051bdf",1,"Medellín",2,44,1,"secundaria_incompleta",19.5,551.833333333333,0,0.833333333333333,0.166666666666667,0,0.166666666666667,0.666666666666667,0,0,0.166666666666667,6,1,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0,0.166666666666667,0,0.5,0.333333333333333,0.5,0.166666666666667,0,0.5,0,0,0.333333333333333,0.166666666666667,0.5,117,4,3,0.333333333333333,0.5,0.75,0.666666666666667,0.5,1,0,0,1,0,0.5,6,2,TRUE,0,1,0,0,1,NA,6,3,1,1,NA,3,0,1,5,1,NA,0.833333333333333,NA,1,0,"4","1",0,0,NA,"1",80,NA,5e+07,5,5,1,NA,0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"2",0,0,0,1,1,0,"2","4","2",4,4,4,3,2,5,5,4,4,3,1,4,2,3,2,4,1,2,2,0.5625,0.166666666666667,0.6875,0.75,0.75,0.375,0.5,1.83333333333333,0,0,0,4,0,3,1,0,0,1,1,0,0,1,2,1,0,0,1,2,2,2,1,1,1,5,1,4,0.291666666666667,0.125,18,0.166666666666667,0.291666666666667,0.4375,2,0.5,0.5,0.5,0.25,0.5,0.5,0,0,0,0,TRUE,FALSE,FALSE,6.36244987963482,0.26,0.587717017757616,-0.137495060009234,NA,0,1,0
