"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"1","1000193972",17.5,15,20,NA,NA,NA,43.3333333333333,30,65,40,40,40,45,42,0,65,50,65,45,50,45,50
"2","1000292440",23.3333333333333,15,40,45,30,65,28.3333333333333,20,35,63.3333333333333,60,65,52,55,58,63,56,60,55,70,65,65
"3","1000438461",27.5,15,40,43.3333333333333,30,60,41.6666666666667,30,60,NA,NA,NA,65,60,68,70,67,60,65,60,70,65
"4","1000536137",12.5,10,15,22.5,15,30,NA,NA,NA,20,20,20,25,20,30,15,20,50,45,55,45,45
"5","1000538215",30,30,30,40,40,40,NA,NA,NA,65,65,65,45,50,60,70,58,60,65,70,75,70
"6","1000638664",15,15,15,60,60,60,NA,NA,NA,NA,NA,NA,48,56,52,50,51,60,65,60,60,60
"7","1000643548",40,40,40,30,30,30,15,15,15,30,30,30,50,60,55,45,52,55,55,60,60,55
"8","1000871711",NA,NA,NA,15,15,15,NA,NA,NA,65,65,65,45,NA,48,70,54,50,NA,50,65,55
"9","1001033236",46,35,65,45,35,65,65,65,65,33.3333333333333,30,35,68,66,62,72,70,70,60,60,60,65
"10","1001139233",15,15,15,26.6666666666667,15,35,32.5,30,35,28.3333333333333,15,35,54,66,76,68,63,30,35,50,40,35
"11","1001235015",15,15,15,20,20,20,18.3333333333333,15,20,27.5,20,35,42,44,66,57,52,40,45,45,40,45
"12","1001359510",15,15,15,65,65,65,NA,NA,NA,35,35,35,40,50,55,60,52,55,55,60,55,60
"13","1001851457",NA,NA,NA,18.75,15,30,33,20,40,42.5,20,65,50,60,55,40,50,55,NA,45,35,40
"14","1002022185",20,15,30,NA,NA,NA,25,15,40,36.6666666666667,15,65,60,66,44,68,60,40,50,40,60,50
"15","1002026183",21.6666666666667,15,35,35,30,40,21.6666666666667,15,30,45,35,65,80,75,66,69,73,45,45,55,35,45
