"","field_1","start_p10","lon","lat","altitude","dpto_ccdgo","mpio_ccdgo","zu_ccdgo","zu_cdivi","setu_ccdgo","setu_ccnct","secu_ccdgo","secu_ccnct","manz_ccdgo","manz_ccnct","cod_ctstr","manz_narea","manz_lati","manz_long","shape_Leng","shape_Area","MANZ_VIV","FT_ACT_VIV","Municipio"
"1",15,1002026183,-74.8182907104492,10.9270572662354,74,"8","1","0","8001000","2902","80011000000002896","5","8001100000000289792","1","8.00110000000029e+20","800101090235",7008.10693359375,10.9266748428345,-74.8187255859375,0.00345012545585632,5.79480001761112e-07,38,"VIV_CNPV2018","Baranquilla"
"2",18,1002155243,-74.8227767944336,10.95046043396,32,"8","1","0","8001000","3705","80011000000003712","6","8001100000000370688","17","8.00110000000037e+20","800101080137",5585.5908203125,10.9506225585938,-74.8231887817383,0.00282023241743445,4.61899986703429e-07,48,"VIV_CNPV2018","Baranquilla"
"3",28,1007175950,-74.8227767944336,10.95046043396,32,"8","1","0","8001000","3705","80011000000003712","6","8001100000000370688","17","8.00110000000037e+20","800101080137",5585.5908203125,10.9506225585938,-74.8231887817383,0.00282023241743445,4.61899986703429e-07,48,"VIV_CNPV2018","Baranquilla"
"4",80,1043435114,-74.8227767944336,10.95046043396,63,"8","1","0","8001000","3705","80011000000003712","6","8001100000000370688","17","8.00110000000037e+20","800101080137",5585.5908203125,10.9506225585938,-74.8231887817383,0.00282023241743445,4.61899986703429e-07,48,"VIV_CNPV2018","Baranquilla"
"5",82,1043873936,-74.8162307739258,10.9295244216919,71,"8","1","0","8001000","2902","80011000000002896","11","8001100000000289792","5","8.00110000000029e+20","800101090246",3376.69409179688,10.9290704727173,-74.8163375854492,0.00254567782394588,2.79210013331976e-07,43,"RECUENTO 2021","Baranquilla"
"6",84,1044618006,-74.8036193847656,10.9379234313965,58,"8","1","0","8001000","3001","80011000000003008","12","8001100000000300032","3","8.0011000000003e+20","800101070395",8697.3046875,10.9377689361572,-74.8038940429688,0.00416487501934171,7.19189984010882e-07,71,"RECUENTO 2021","Baranquilla"
"7",85,1045674075,-74.804801940918,10.9384660720825,61,"8","1","0","8001000","3001","80011000000003008","12","8001100000000300032","11","8.0011000000003e+20","0",5422.890625,10.9387483596802,-74.8049240112305,0.00310444994829595,4.48430000687949e-07,48,"VIV_CNPV2018","Baranquilla"
"8",87,1045677797,-74.8242492675781,10.9571866989136,40,"8","1","0","8001000","2603","80011000000002608","7","8001100000000260096","11","8.00110000000026e+20","0",5228.298828125,10.9569883346558,-74.8244247436523,0.00286901323124766,4.32359996693776e-07,1,"VIV_CNPV2018","Baranquilla"
"9",90,1045683391,-74.815185546875,10.9568767547607,55,"8","1","0","8001000","2701","80011000000002704","2","8001100000000270336","6","8.00110000000027e+20","800101080209",5813.51171875,10.95716381073,-74.815185546875,0.00297449366189539,4.80749974940409e-07,68,"VIV_CNPV2018","Baranquilla"
"10",94,1045724437,-74.8227767944336,10.95046043396,32,"8","1","0","8001000","3705","80011000000003712","6","8001100000000370688","17","8.00110000000037e+20","800101080137",5585.5908203125,10.9506225585938,-74.8231887817383,0.00282023241743445,4.61899986703429e-07,48,"VIV_CNPV2018","Baranquilla"
"11",96,1045741495,-74.8227767944336,10.95046043396,45,"8","1","0","8001000","3705","80011000000003712","6","8001100000000370688","17","8.00110000000037e+20","800101080137",5585.5908203125,10.9506225585938,-74.8231887817383,0.00282023241743445,4.61899986703429e-07,48,"VIV_CNPV2018","Baranquilla"
"12",97,1045743889,-74.8194427490234,10.9542255401611,45,"8","1","0","8001000","3705","80011000000003712","14","8001100000000370688","4","8.00110000000037e+20","800101080180",15009.6025390625,10.9538173675537,-74.8206253051758,0.00575488433241844,1.24122004763194e-06,83,"RECUENTO 2022","Baranquilla"
"13",98,1045746691,-74.8220748901367,10.9457025527954,71,"8","1","0","8001000","3705","80011000000003712","2","8001100000000370688","1","8.00110000000037e+20","800101080062",8834.15234375,10.946008682251,-74.8224182128906,0.00348478695377707,7.30520014258218e-07,37,"VIV_CNPV2018","Baranquilla"
"14",102,1046702906,-74.8191299438477,10.9264612197876,68,"8","1","0","8001000","2902","80011000000002896","3","8001100000000289792","19","8.00110000000029e+20","800101090214",9096.3203125,10.9268674850464,-74.8193588256836,0.00372111215256155,7.52150015159714e-07,48,"VIV_CNPV2018","Baranquilla"
