"","start_p10","hh_id","tratamiento_control","tratamiento_control.x","city","pledge","edad_hh","mujer_hh","escolaridad_hh","edad","edad_sq","afro","mujeres_1","educacionninguno","educacionprimaria_o_menos","educacionsecundaria_completa","educacionsecundaria_incompleta","educaciontecnica_teconologica","educacionuniversidad","educacionprimaria_o_menos_ninguno","hh_size","nino_0_a_5","nino_0_a_6","nino_13_a_17","nino_7_a_12","nino_18_a_24","nino_25_a_40","nino_41_a_65","nino_66","nino","nino_0_a_14","joven_15_a_24","adulto_25_59","adulto_mayor_60","adulto","adulto_mayor_65","adulto_mayor","hijos","padres","otros","moda_cmh_p9","construccion","poblacion_edad_trabajar_1","poblacion_edad_trabajar_juvenil_1","desempleo_1","desempleo_juvenil_1","participacion_laboral_1","participacion_laboral_juvenil_1","empleado_con_contrato_formal_1","empleado_con_seguridad_social_1","empleado_insatisfecho_laboralmente_1","empleado_con_sub_empleado_1_1","empleado_con_ingreso_menor_salario_minimo_1","empleado_canales_busqueda_formales_1","asalariados_1","n","empleados_1","desempleo_dummy","construccion_dummy","piso_tierra","piso_mejor","cocina_prov","bano_bald","bano_todas","satisfaccion_hh","n_rooms","n_bedrooms","n_baths","n_living","sspp","percepcion_agua","cocina_mejor","modd_ig_p4","modd_ig_p48","modd_ig_p49","modd_ig_p56","pobreza_modera_y_extrema_sisben","fuente_informal","ing","ing_insuf","gast","ingr_alimento","gast_sal","deuda","valor_deuda","fuente_ingreso","porct_ingreso_fuente","financiacion_deuda","precio_venta","ingreso_futuro","total_ahorro","meses_ahorro","cuenta_ahorro","tratamiento_control.y","start_p10.y","visita_medico","diarrea","vomito","fiebre","irritaciones","i_health_perc","i_health_perc_sum","edad_0_a_6","edad_7_a_12","edad_13_a_17","edad_15_a_18","edad_18_a_24","edad_25_a_40","edad_41_a_65","edad_66","visita_medico_edad_0_a_6","visita_medico_edad_7_a_12","visita_medico_edad_13_a_17","visita_medico_edad_15_a_18","visita_medico_edad_18_a_24","visita_medico_edad_25_a_40","visita_medico_edad_41_a_65","visita_medico_edad_66","diarrea_edad_0_a_6","diarrea_edad_7_a_12","diarrea_edad_13_a_17","diarrea_edad_15_a_18","diarrea_edad_18_a_24","diarrea_edad_25_a_40","diarrea_edad_41_a_65","diarrea_edad_66","vomito_edad_0_a_6","vomito_edad_7_a_12","vomito_edad_13_a_17","vomito_edad_15_a_18","vomito_edad_18_a_24","vomito_edad_25_a_40","vomito_edad_41_a_65","vomito_edad_66","fiebre_edad_0_a_6","fiebre_edad_7_a_12","fiebre_edad_13_a_17","fiebre_edad_15_a_18","fiebre_edad_18_a_24","fiebre_edad_25_a_40","fiebre_edad_41_a_65","fiebre_edad_66","irritaciones_edad_0_a_6","irritaciones_edad_7_a_12","irritaciones_edad_13_a_17","irritaciones_edad_15_a_18","irritaciones_edad_18_a_24","irritaciones_edad_25_a_40","irritaciones_edad_41_a_65","irritaciones_edad_66","i_health_perc_edad_0_a_6","i_health_perc_edad_7_a_12","i_health_perc_edad_13_a_17","i_health_perc_edad_15_a_18","i_health_perc_edad_18_a_24","i_health_perc_edad_25_a_40","i_health_perc_edad_41_a_65","i_health_perc_edad_66","i_health_perc_sum_edad_0_a_6","i_health_perc_sum_edad_7_a_12","i_health_perc_sum_edad_13_a_17","i_health_perc_sum_edad_15_a_18","i_health_perc_sum_edad_18_a_24","i_health_perc_sum_edad_25_a_40","i_health_perc_sum_edad_41_a_65","i_health_perc_sum_edad_66","i_healh","i_healh_edad_0_a_6","i_healh_edad_7_a_12","i_healh_edad_13_a_17","i_healh_edad_15_a_18","i_healh_edad_18_a_24","i_healh_edad_25_a_40","i_healh_edad_41_a_65","i_healh_edad_66","moda_cmh_p12","seguridad_barrio","instituciones_gobierno","instituciones_empresas_serv_pub","instituciones_policia","instituciones_jac","instituciones_asociaciones_locales","instituciones_iglesias","imagen_privados","privadas_bienestar","satisfecho_barrio","relacion_vecinos","satisfaccion","animo","nervioso","moral_baja","calmado","feliz","vitalidad","satisfecho","cosas_bien","no_controlar_cosas","seguridad","dificultades","energia","agotado","cansado","reducir_trabajo","baja_productividad","trabajo_sin_cuidado","i_vitalidad","i_rol_emocional","i_salud_mental","i_animo","i_satisfaccion","i_extra","i_mental","moda_cmh_p7","modg_ef_p2","modg_ef_p3","modg_ef_p4","modg_ef_p5","modg_ef_p6","modg_ef_p7","modg_ef_p25","modg_ef_p26","modg_ef_p27","modg_ef_p28","modg_ef_p29","modg_ef_p30","modg_ef_p8","modg_ef_p9","modg_ef_p10","modg_ef_p11","modg_ef_p12","modg_ef_p13","modg_ef_p14","modg_ef_p15","modg_ef_p16","modg_ef_p17","escucha","aceptacion","satisfaccion_comportamiento","mejorar_tristeza","saber_problemas","apoyo","i_ambiente_familiar","economic_empowerment_index","family_functionality","family_violence_index_C","family_responsiveness_index_C","family_functionality_index_c","family_functionality_index","oficios_frecuente","oficios_mejoramiento_frecuente","trabajo_frecuente","n_oficios","n_trabajo","oficio_first","oficio_second","oficio_third","horas_oficios","horas_trabajo","oficio_first_dummy","oficio_second_dummy","oficio_third_dummy","n_per_room","venta","area","arriendo","aux_nino"
"1","1000193972","uuid:d5e70289-34b9-4123-93d6-4bae5cba87df","0","0",1,1,23,0,"secundaria_completa",23,529,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,23,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,FALSE,FALSE,0,0,1,0,1,5,4,2,1,1,,4,0,3,1,,,1,,1,0,2,5,1,0,,2,100,,40000000,3,1,,,"0",,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,0,0,0,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,2,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,1,0.25,1,0.75,1,1,0.852941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,0,,FALSE,TRUE,FALSE,0.25,5967500,36,350000,FALSE
"2","1000292440","uuid:9332f42d-7b75-4820-a4be-e776161eb431","0","0",1,1,21,0,"secundaria_incompleta",21,611.666666666667,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,3,1,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0,0,0.333333333333333,0.666666666666667,63,0.5,2,1,0,0,1,1,0.5,0.5,0,0,0,0,0.5,3,2,FALSE,TRUE,0,1,0,1,1,4,2,0,1,1,,4,0,1,1,,1,0,1,2,0,1,2,0,1,1,2,60,1,35000000,5,1,,1,"0",,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0,,,0,0,0.333333333333333,,,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,2,3,3.5,2.5,4.5,4.5,4.5,4.5,4,4.5,3.5,4.5,3.5,5,4,3,3,2,2,2,0.625,0.25,0.875,0.375,0.875,0.78125,0.654411764705882,1.33333333333333,4,4,4,4,4,4,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,1,0.208333333333333,64,1,1,1,4,0,0,1,0,1,0,0,0,,47,FALSE,FALSE,FALSE,1.5,5967500,21,350000,FALSE
"3","1000438461","uuid:ea91f40e-894a-491e-8aec-2ff13ec693c5","0","0",1,1,50,1,"secundaria_incompleta",36.4,1452,1,0.2,0,0,0.2,0.6,0.2,0,0,5,0,0,0,0,0.2,0.4,0.4,0,0,0,0.2,0.8,0,1,0,0,0.6,0.4,0,182,0.333333333333333,5,2,0,0,0.6,1,0.666666666666667,1,0,0,0,0.666666666666667,0.666666666666667,5,3,FALSE,TRUE,0,1,0,0,1,,4,2,1,1,,3,0,2,8,12,,0.6,,1,0,3,5,1,0,,1,60,,45000000,4,8,12,,"0",,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0,,,,0,0,0,0.2,,,,,0,0,0,0,,,0,0,0,0,0,0,0,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,2,4,5,3,5,5,5,5,5,5,4,5,4,5,5,3,3,2,2,2,0.75,0.25,1,0.5,1,0.875,0.75,1.2,3,3,3,4,3,3,1,1,1,1,1,1,4,3,4,4,4,4,4,3,4,4,4,4,4,5,4,4,0.791666666666667,0.25,57,0.958333333333333,0.791666666666667,0.9375,4,0.6,0.6,0.6,0.2,0.6,0.2,0.2,0.2,47,127,TRUE,TRUE,TRUE,1.25,11082500,30,650000,FALSE
"4","1000536137","uuid:d545f342-6203-4358-bade-35bbfddff960","1","1",1,3,31,1,"tecnica_teconologica",19.4615384615385,476.230769230769,0.769230769230769,0.769230769230769,0,0.384615384615385,0.0769230769230769,0.461538461538462,0.0769230769230769,0,0.384615384615385,13,0,0,0.153846153846154,0.384615384615385,0.0769230769230769,0.384615384615385,0,0,0.538461538461538,0.461538461538462,0.153846153846154,0.384615384615385,0,0.461538461538462,0,0,0.538461538461538,0.0769230769230769,0.384615384615385,253,0.333333333333333,7,4,0,0,0.428571428571429,0.5,0,1,0.333333333333333,0,0.666666666666667,0,0,13,3,FALSE,TRUE,0,1,0,0,1,2,3,2,1,1,,3,0,1,1,,,0,,4,0,4,4,1,0,,1,70,,60000000,5,1,,,"1",,0,0,0,0,0,0,0,0,0.384615384615385,0.153846153846154,0.0769230769230769,0.0769230769230769,0.384615384615385,0,0,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,5,4,3,2.5,2.5,5,4,4,3,2.5,2,3.5,4,4.5,3.5,2.5,3,3,1.5,1.5,1.5,0.4375,0.125,0.75,0.375,0.25,0.71875,0.507352941176471,1.76923076923077,4,0,3,0,3,3,1,1,1,1,1,1,0,1,0,0,0,2,4,4,4,4,5,1,4,1,4,4,0.541666666666667,0.25,32,0.125,0.541666666666667,1,2,0.375,0.375,0.375,0.375,0.25,0.375,0,0,127,40,TRUE,FALSE,FALSE,4.33333333333333,7672500,80,450000,FALSE
"5","1000538215","uuid:2d6aa561-5eca-40c7-b0a5-7565ebc426d7","1","1",1,3,29,1,"tecnica_teconologica",14.75,347.25,0,0.75,0.25,0.25,0,0,0.5,0,0.5,4,1,0.25,0,0.25,0.25,0.25,0,0,0.5,0.5,0.25,0.25,0,0.5,0,0,0.5,0.25,0.25,59,,2,1,1,1,0.5,1,,,,,,,,4,0,TRUE,,0,1,0,0,1,3,5,2,1,1,,3,0,1,1,,,0,,3,0,3,2,1,0,,3,100,,80000000,5,1,,,"1",,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,,0,0,0,,,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,3,3,3,2.5,2.5,3,4,3.5,4,3,3,2.5,3.5,3,3.5,2.5,3.5,1.5,1,1.5,0.59375,0.0833333333333333,0.5625,0.375,0.5,0.5,0.455882352941176,1.75,3,3,3,3,3,3,1,1,1,0,0,1,3,3,4,4,4,4,2,2,2,2,4,4,4,4,4,4,0.75,0.166666666666667,48,0.916666666666667,0.75,0.5,3,1,1,0,0.5,0,1,0,0,0,,TRUE,FALSE,FALSE,0.8,8525000,50,5e+05,FALSE
"6","1000638664","uuid:f5d4611c-1137-4241-8580-ea57c06efc9c","1","1",1,3,27,1,"secundaria_completa",14.3333333333333,288.333333333333,0,0.666666666666667,0,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,3,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0,43,0,1,1,0,0,1,1,1,1,0,0,0,1,1,3,1,FALSE,FALSE,0,1,0,0,1,5,2,0,1,1,,3,0,2,6,1,,0,,2,0,4,1,1,0,,2,100,,10000000,4,6,1,,"1",,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,,0,,0,,,0,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,0,1,1,2,3,3,5,5,3,3,4,3,4,4,2,3,4,5,5,3,3,1,1,1,0.6875,0,0.5625,1,0.75,0.625,0.544117647058823,1.66666666666667,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.75,0.25,58,1,0.75,1,4,1,1,1,0,1,0,1,0,,0,FALSE,TRUE,FALSE,1.5,5115000,20,3e+05,FALSE
"7","1000643548","uuid:68d0dce8-884c-42f0-98d8-c350686597e7","1","1",1,2,23,1,"tecnica_teconologica",15.5,296.5,0,1,0,0.5,0,0,0.5,0,0.5,2,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0,31,0,1,1,0,0,1,1,0,1,0,0,0,0,0,2,1,FALSE,FALSE,0,1,0,0,1,4,2,1,1,1,,4,0,1,1,,,1,,2,0,2,1,1,0,,2,100,,30000000,5,1,,,"1",,1,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,,0.5,,0,0.5,,,,,0,,0,0,,,,,0,0,0,0,0,0,0,,0,,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,3,3,2,2,4,2,5,5,5,5,5,4,3,3,3,5,5,3,5,2,2,1,0.875,0.166666666666667,1,0.25,0.75,0.625,0.676470588235294,2,4,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,5,4,4,4,4,4,0.791666666666667,0.25,55,1,0.791666666666667,0.75,4,1,1,1,0,0,0,0,1,,,FALSE,FALSE,TRUE,1,4262500,20,250000,FALSE
"8","1000871711","uuid:b4bf8329-dba3-4c83-8973-b9df082f7de1","1","1",1,3,21,1,"secundaria_incompleta",9.66666666666667,158.333333333333,0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667,3,2,0.666666666666667,0,0,0.333333333333333,0,0,0,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0,29,0,1,1,0,0,1,1,0,1,0,0,0,0,0,3,1,FALSE,FALSE,1,0,0,,,3,1,0,0,0,,2,0,1,1,,,0,,4,0,2,3,1,0,,2,100,,20000000,5,1,,,"1",,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,,,0,0,,,,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,2,2,3,3,5,5,5,5,5,5,4,5,4,5,5,3,5,2,2,2,0.875,0.25,1,0.5,1,0.875,0.779411764705882,1.66666666666667,3,3,3,3,3,3,1,1,1,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.75,0.208333333333333,58,1,0.75,1,4,1,1,1,1,0,1,0,0,40,,TRUE,FALSE,FALSE,3,3410000,21,2e+05,FALSE
"9","1001033236","uuid:188224e8-13f3-4463-988a-44a17f770372","0","0",1,1,24,1,"primaria_o_menos",33,1791,0,1,0.333333333333333,0.666666666666667,0,0,0,0,1,3,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0.333333333333333,0.666666666666667,0,99,0,2,1,0,0,0.5,1,0,1,1,1,1,0,1,3,1,FALSE,FALSE,0,0,0,1,1,2,3,1,1,1,,3,0,2,1,,,1,,3,0,3,2,1,0,,2,100,,50000000,4,1,,,"0",,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,,,0.333333333333333,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,3,5,4,3,2,2,1,2,1,1,1,4,3,3,3,3,1,1,1,1,1,2,0,0.0833333333333333,0.0625,0.25,0.75,0.5,0.205882352941176,2,3,3,3,1,0,0,0,0,1,1,0,0,4,2,2,2,2,4,3,1,0,0,4,4,4,2,1,1,0.416666666666667,0.0833333333333333,30,0.666666666666667,0.416666666666667,0.25,2,1,1,0.5,0,0.5,1,0,0,,48,TRUE,FALSE,FALSE,1,7672500,40,450000,TRUE
"10","1001139233","uuid:9c0f3c9f-57d2-4dd6-9465-80980b55cc7a","0","0",1,1,20,0,"secundaria_completa",18.5,344.5,0,0.5,0,0,0.5,0.5,0,0,0,2,0,0,0.5,0,0.5,0,0,0,0.5,0,1,0,0,0.5,0,0,0,0.5,0.5,37,0,2,2,0,0,0.5,0.5,0,0,0,0,1,0,1,2,1,FALSE,FALSE,0,1,1,0,1,4,2,1,1,1,,3,0,1,3,1,,0,,4,0,4,2,1,0,,2,100,,20000000,5,3,1,,"0",,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,,,0,0,0,,,,,,0,0,0,,,,,0,0,0,0,0,0,0,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,3,3,4,5,3,4,5,2,5,5,4,4,5,3,5,4,4,2,2,2,0.875,0.25,0.625,1,1,0.75,0.691176470588235,1.5,2,3,3,3,3,3,1,1,1,1,1,1,3,4,1,4,4,4,3,3,3,3,3,4,4,4,4,4,0.708333333333333,0.25,49,0.833333333333333,0.708333333333333,0.75,4,0.5,0.5,0.5,0,0.5,0,0.5,0,,0,FALSE,TRUE,FALSE,1,6820000,60,4e+05,FALSE
