"","ID_H"
"1","0003"
"2","0003"
"3","0004"
"4","0005"
"5","0007"
"6","0007"
"7","0008"
"8","0011"
"9","0011"
"10","0011"
"11","0012"
"12","0012"
"13","0012"
"14","0013"
"15","0013"
"16","0013"
"17","0013"
"18","0016"
"19","0016"
"20","0016"
"21","0016"
"22","0017"
"23","0017"
"24","0018"
"25","0020"
"26","0020"
"27","0021"
"28","0022"
"29","0024"
"30","0025"
"31","0026"
"32","0026"
"33","0027"
"34","0028"
"35","0029"
"36","0030"
"37","0030"
"38","0031"
"39","0032"
"40","0033"
"41","0034"
"42","0037"
"43","0038"
"44","0038"
"45","0040"
"46","0041"
"47","0043"
"48","0047"
"49","0048"
"50","0050"
"51","0050"
"52","0050"
"53","0052"
"54","0052"
"55","0053"
"56","0054"
"57","0054"
"58","0054"
"59","0055"
"60","0055"
"61","0056"
"62","0056"
"63","0057"
"64","0057"
"65","0059"
"66","0060"
"67","0060"
"68","0061"
"69","0062"
"70","0062"
"71","0063"
"72","0064"
"73","0065"
"74","0065"
"75","0066"
"76","0068"
"77","0068"
"78","0068"
"79","0068"
"80","0068"
"81","0070"
"82","0071"
"83","0071"
"84","0072"
"85","0072"
"86","0072"
"87","0072"
"88","0073"
"89","0073"
"90","0073"
"91","0075"
"92","0075"
"93","0075"
"94","0075"
"95","0076"
"96","0083"
"97","0085"
"98","0085"
"99","0088"
"100","0088"
"101","0089"
"102","0090"
"103","0093"
"104","0097"
"105","0099"
"106","0100"
"107","0100"
"108","0102"
"109","0102"
"110","0102"
"111","0104"
"112","0104"
"113","0106"
"114","0106"
"115","0106"
"116","0108"
"117","0109"
"118","0109"
"119","0109"
"120","0110"
"121","0111"
"122","0111"
"123","0111"
"124","0113"
"125","0113"
"126","0113"
"127","0115"
"128","0115"
"129","0115"
"130","0116"
"131","0116"
"132","0117"
"133","0117"
"134","0118"
"135","0118"
"136","0118"
"137","0118"
"138","0120"
"139","0121"
"140","0121"
"141","0122"
"142","0122"
"143","0123"
"144","0124"
"145","0124"
"146","0125"
"147","0125"
"148","0129"
"149","0130"
"150","0130"
"151","0131"
"152","0131"
"153","0131"
"154","0133"
"155","0133"
"156","0134"
"157","0135"
"158","0136"
"159","0136"
"160","0137"
"161","0137"
"162","0137"
"163","0138"
"164","0139"
"165","0139"
"166","0139"
"167","0140"
"168","0140"
"169","0142"
"170","0145"
"171","0146"
"172","0147"
"173","0147"
"174","0147"
"175","0148"
"176","0148"
"177","0150"
"178","0150"
"179","0151"
"180","0153"
"181","0153"
"182","0154"
"183","0154"
"184","0156"
"185","0157"
"186","0157"
"187","0159"
"188","0159"
"189","0160"
"190","0160"
"191","0163"
"192","0164"
"193","0165"
"194","0165"
"195","0165"
"196","0165"
"197","0166"
"198","0166"
"199","0167"
"200","0167"
"201","0170"
"202","0170"
"203","0170"
"204","0171"
"205","0172"
"206","0172"
"207","0173"
"208","0174"
"209","0174"
"210","0175"
"211","0175"
"212","0175"
"213","0176"
"214","0177"
"215","0177"
"216","0179"
"217","0179"
"218","0179"
"219","0180"
"220","0180"
"221","0181"
"222","0181"
"223","0182"
"224","0182"
"225","0189"
"226","0189"
"227","0189"
"228","0190"
"229","0191"
"230","0192"
"231","0193"
"232","0193"
"233","0193"
"234","0194"
"235","0195"
"236","0197"
"237","0197"
"238","0197"
"239","0197"
"240","0199"
"241","0199"
"242","0201"
"243","0201"
"244","0202"
"245","0202"
"246","0203"
"247","0204"
"248","0204"
"249","0205"
"250","0205"
"251","0205"
"252","0205"
"253","0207"
"254","0208"
"255","0208"
"256","0208"
"257","0209"
"258","0210"
"259","0210"
"260","0210"
"261","0212"
"262","0212"
"263","0213"
"264","0215"
"265","0215"
"266","0218"
"267","0219"
"268","0219"
"269","0219"
"270","0220"
"271","0220"
"272","0220"
"273","0221"
"274","0221"
"275","0222"
"276","0223"
"277","0223"
"278","0224"
"279","0225"
"280","0225"
"281","0225"
"282","0225"
"283","0225"
"284","0226"
"285","0226"
"286","0227"
"287","0228"
"288","0229"
"289","0229"
"290","0229"
"291","0229"
"292","0229"
"293","0229"
"294","0230"
"295","0232"
"296","0233"
"297","0233"
"298","0234"
"299","0234"
"300","0235"
"301","0236"
"302","0237"
"303","0238"
"304","0240"
"305","0241"
"306","0241"
"307","0241"
"308","0241"
"309","0241"
"310","0243"
"311","0245"
"312","0246"
"313","0246"
"314","0247"
"315","0247"
"316","0247"
"317","0248"
"318","0248"
"319","0250"
"320","0250"
"321","0252"
"322","0254"
"323","0256"
"324","0257"
"325","0258"
"326","0258"
"327","0259"
"328","0259"
"329","0260"
"330","0260"
"331","0260"
